Exh.8.1.1-04	Ngày hội Tư vấn Tuyển sinh - Hướng nghiệp 2017 \ntại Đại học Cần Thơ \nhttps://yu.ctu.edu.vn/index.php/ho-tro-sinh-vien/23-tin-tuc-tong-hop/32-tung-bung-ngay-hoi-tu-van-tuyen-sinh-huong-nghiep-2017-dhct.html
Exh.8.1.1-05	Trang web những điều Tân sinh viên cần biết \nhttps://tansinhvien.ctu.edu.vn
Exh.8.2.1-01 	Dự thảo báo cáo Tổng kết năm học 2017-2018 \nvà Kế hoạch công tác 2018-2019
Exh.8.3.1-01	Website Hệ thống quản lý \nhttps://htql.ctu.edu.vn/htql/login.php
Exh.8.4.1-01	Bố trí lớp, thời khóa biểu \nvà cố vấn học tập cho tân sinh viên \nhttps://tansinhvien.ctu.edu.vn/hoc-tap/bo-tri-lop-thoi-khoa-bieu-va-co-van-hoc-tap
Exh.8.4.1-02	Quy định Công tác Cố vấn học tập
Exh.8.4.2-01	Cơ cấu tổ chức và các hoạt động \ncủa Đoàn Thanh niên Khoa CNTT&TT
Exh.8.4.3-01	Quyết định khen thưởng sinh viên đạt thành tích \nkỳ thi Olympic Tin học sinh viên
Exh.8.4.4-01	Hình ảnh các hoạt động định hướng nghề nghiệp
Exh.8.5-01	Cảnh quan khu II
Exh.9.1-01	Báo cáo tổng kết nhiệm kỳ 2012-2017 \nvà phương hướng của Khoa CNTT&TT
Exh.9.2-01	Báo cáo tự đánh giá Trường Đại học Cần Thơ 2012-2016
Exh.9.2-02	Website Trung tâm học liệu \nhttp://www.lrc.ctu.edu.vn
Exh.9.2-03	Kế hoạch sinh hoạt đầu năm tại Trung tâm học liệu
Exh.9.2-04	Thống kê sách và tài liệu học tập \ntại Thư viện Khoa CNTT&TT
Exh.9.2-05	Thống kê tần suất sử dụng tài liệu \ntại Thư viện ngành CNTT
Exh.9.3-01	Công khai cơ sở vật chất Trường ĐHCT \nnăm học 2016-2017
Exh.9.3-02	Thống kê phòng thí nghiệm và phòng thực hành \nKhoa CNTT&TT đến ngày 31/12/2016
Exh.9.3-03	Kế hoạch mua sắm - sửa chữa tài sản \ncủa Khoa CNTT&TT năm 2018
Exh.9.3-04	Quyết định số 243/QĐ-ĐHCT ngày 29/1/2016 \ncủa Hiệu trưởng Trường ĐHCT \nvề việc thành lập các Phòng thí nghiệm \nvà thực hành tại Khoa CNTT&TT
Exh.9.3-05	Thống kê buổi thực hành tại Khoa CNTT&TT 2017-2018
Exh.9.4-01	Thống kê tình hình cơ sở vật chất các phòng thí nghiệm, \nphòng thực hành, phòng chức năng của Khoa CNTT&TT \ntính đến tháng 12/2017
Exh.9.4-02	Trang web http://www.cit.ctu.edu.vn/vpk/login
Exh.9.5-01	Lịch khám sức khỏe \nhttps://tansinhvien.ctu.edu.vn/sinh-hoat/lich-kham-suc-khoe
Exh.9.5-02	Báo cáo tổng kết năm học 2016-2017 \ncủa Khoa CNTT&TT
Exh.9.5-03	Biên bản về việc kiểm tra dụng cụ PCCC \nvà thu hồi, sửa chữa
Exh.10.1-01	Biên bản họp nhóm cải tiến giáo trình Lập trình căn bản \nLần 1
Exh.10.1-02	Tổng hợp phản hồi sinh viên – học phần CT171
Exh.10.1-03	Biên bản sinh hoạt đầu năm học 2018
Exh.10.1-04	Chương trình sự kiên khám phá tri thức 2016
Exh.10.1-05	MOU với VNPT
Exh.10.1-06	MOU với EECS-NCU
Exh.10.1-07	V/v lấy ý kiến phản hồi từ người học \nvề hoạt động giảng dạy của giáo viên \nhọc kỳ II, năm 2017-2018
Exh.10.2-01	Quyết định số 4946-QĐ-ĐHCT \nvề việc thành lập ban chỉ đạo, tổ thư ký điều chỉnh CTĐT (2013)
Exh.10.2-02	Biên bản họp về sửa đổi CTĐT năm 2013
Exh.10.2-03	Biên bản họp về cải tiến chương trình đào tạo \nlần 2 năm 2013
Exh.10.3-01	Biên bản họp nhóm cải tiến giáo trình Lập trình căn bản \nLần 2
Exh.10.3-02	Mẫu luận văn ngành KTPM
Exh.10.3-03	Phiếu chấm luận văn tốt nghiệp đại học ngành KTPM
Exh.10.4-01	Danh sách đề tài sinh viên
Exh.10.4-02	Giấy chứng nhận giải thưởng NCKH sinh viên (2017)
Exh.10.5-01	Báo cáo về phân bổ ngân quỹ cho CICT \ntừ năm 2012 đến ngày 7/2017
Exh.10.5-02	Quyết định phân bổ dự toán ngân sách năm 2018
Exh.10.6-01	Công văn 1276/BGDĐT-NG của Bộ GD-ĐT \nv/v Hướng dẫn tổ chức lấy ý kiến phản hồi từ người học \nvề hoạt động giảng dạy của giảng viên
Exh.10.6-02	Phiếu lấy ý kiến của sinh viên \nvề hoạt động giảng dạy của giáo viên
Exh.10.6-03	Biên bản Hội nghị viên chức - người lao động \nKhoa CNTT-TT 2017-2018
Exh.10.6-04	Đăng nhập tài khoản đánh giá học phần của giảng viên
Exh.10.6-05	Đăng nhập tài khoản đánh giá học phần \ncủa Trưởng Bộ Môn, Trưởng Khoa
Exh.10.6-06	Biên bản họp bộ môn về việc thực hiện công tác khảo sát \nvà cải tiến học phần Lập trình căn bản
Exh.11.1-01	Kết quả học tập học kỳ 2 năm học 2017-2018 \ncủa một lớp KTPM
Exh.11.1-02	Cam kết của sinh viên bị cảnh báo học vụ \nvà kết quả học tập học kỳ 2 \nnăm học 2016-2017
Exh.11.1-03	Công văn về việc kiểm tra kết quả học tập của sinh viên \nhọc kỳ 1 năm 2017-2018
Exh.11.3-01	Báo cáo tình hình việc làm của sinh viên \nsau 1 năm tốt nghiệp
Exh.11.3-02	Bảng kế hoạch ngày hội việc làm năm 2018
Exh.11.5-01	Phiếu lấy ý kiến sinh viên tốt nghiệp năm 2017
Exh.11.5-02	Phiếu lấy ý kiến của người sử dụng lao động \nvề CTĐT ngành KTPM năm 2018
Exh.11.5-03	Ý kiến phản hồi của sinh viên \ncho môn học CT171-Nhập môn Công nghệ phần mềm
Exh.11.5-01	Phiếu lấy ý kiến sinh viên tốt nghiệp năm 2017
Exh.11.5-02	Phiếu lấy ý kiến của người sử dụng lao động \nvề CTĐT ngành KTPM năm 2018
Exh.11.5-03	Ý kiến phản hồi của sinh viên \ncho môn học CT171-Nhập môn Công nghệ phần mềm
